Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2015-04-23,-18.162082780509955,0.521873197843041,1.0,0.8260284269810929,0.8260284269810929,0.7447962020240402,999997.3574335732,
2015-04-24,-17.20062600767514,2.1536457120277457,1.0,2.0,2.0,0.7924296683155317,999998.1498632416,
2015-04-27,-18.261254621111526,0.55422243913689,1.0,1.0466306751287706,1.0466306751287706,-2.122687280860078,999996.0271759607,
2015-04-28,-18.62350816545871,-0.09730473908004732,1.0,0.18519239517918246,0.18519239517918246,-0.3804378291078069,999995.6467381316,
2015-04-29,-18.202883476806946,0.6439537255733504,1.0,1.2164490255259603,1.2164490255259603,0.07634960861739777,999995.7230877402,
2015-04-30,-18.342541434574827,0.3173385639072893,1.0,0.6172662872666481,0.6172662872666481,-0.17078556074107318,999995.5523021795,
2015-05-01,-18.592949721199744,-0.15918447033399893,1.0,0.30943104481829575,0.30943104481829575,-0.15503034624943818,999995.3972718333,
2015-05-04,-18.873804662539904,-0.6438779604636515,1.0,1.2438071342579125,1.2438071342579125,-0.08830680207542609,999995.3089650312,
2015-05-05,-18.912737496301915,-0.6429998277404263,1.0,1.269568260448397,1.269568260448397,-0.04846357807935282,999995.2605014531,
2015-05-06,-18.868792287476538,-0.4807401409814205,1.0,1.0319128304751428,1.0319128304751428,0.05543495917851597,999995.3159364122,
2015-05-07,-18.957454959881538,-0.6461617409304041,1.0,1.3741494072977287,1.3741494072977287,-0.09200550410416815,999995.2239309081,
2015-05-08,-19.232945676365325,-1.1882160202185283,1.0,2.0,2.0,-0.3795041806612765,999994.8444267275,
2015-05-11,-19.119691939691414,-0.9012105243760568,1.0,1.839727466112243,1.839727466112243,0.2262670645469913,999995.0706937921,
2015-05-12,-19.278474275779082,-1.2611371262277824,1.0,2.0,2.0,-0.29235663363478026,999994.7783371585,
2015-05-13,-19.87240176943346,-2.106227425330064,1.0,2.0,2.0,-1.1878549873087536,999993.5904821712,
2015-05-14,-19.95938434521174,-1.912312102308839,1.0,2.0,2.0,-0.17396515155655834,999993.4165170196,
2015-05-15,-20.54330530745009,-2.288919489621734,1.0,2.0,2.0,-1.1678419244767042,999992.2486750952,
2015-05-18,-20.196329977162073,-1.5949858017130152,1.0,2.0,2.0,0.6939506605760357,999992.9426257557,
2015-05-19,-19.41480558284546,-0.5567826015727675,1.0,0.7092289331168942,0.7092289331168942,1.5611126320329,999994.5037383877,
2015-05-20,-19.094626765940504,-0.13890275587353007,1.0,0.1768520497045883,0.1768520497045883,0.22628151539501318,999994.7300199032,
2015-05-21,-19.470210629931778,-0.5462864697291592,1.0,0.7117750745289717,0.7117750745289717,-0.06722516072006267,999994.6627947424,
2015-05-22,-19.205243577586273,-0.08555123220156713,1.0,0.13534618525154013,0.13534618525154013,0.18773230009702715,999994.8505270425,
2015-05-26,-19.49307366886545,-0.46718037733803697,1.0,0.7786140837445484,0.7786140837445484,-0.03992160670297855,999994.8106054359,
2015-05-27,-20.221531154557688,-1.490094979681051,1.0,2.0,2.0,-0.5690193366435033,999994.2415860993,
2015-05-28,-19.94378525650513,-0.9668003974971202,1.0,1.6570376464021521,1.6570376464021521,0.5549773525747193,999994.7965634519,
2015-05-29,-19.715517251367856,-0.5006429111957161,1.0,0.9381630178978368,0.9381630178978368,0.3771703660388258,999995.1737338179,
2015-06-01,-19.768819451565818,-0.525420980032656,1.0,1.0550097861956726,1.0550097861956726,-0.050181423150761205,999995.1235523947,
2015-06-02,-19.46415968216587,0.15248242022274888,1.0,0.3206803663294783,0.3206803663294783,0.32031754404726204,999995.4438699387,
2015-06-03,-19.748239653168895,-0.37399856845637913,1.0,0.8237628702479252,0.8237628702479252,-0.09185349292399496,999995.3520164458,
2015-06-04,-19.287238706525727,0.7283852247531598,1.0,1.699793248396371,1.699793248396371,0.3784414174265638,999995.7304578633,
2015-06-05,-19.027797374786054,1.3588112605404596,1.0,2.0,2.0,0.4405463139186536,999996.1710041772,
2015-06-08,-18.69710335715937,1.8985767807300575,1.0,2.0,2.0,0.661388035253367,999996.8323922125,
2015-06-09,-18.41054966751519,2.1606681659418916,1.0,2.0,2.0,0.5731073792883592,999997.4054995917,
2015-06-10,-18.227032981373327,2.1080268782484386,1.0,2.0,2.0,0.36703337228372845,999997.772532964,
2015-06-11,-18.523881659386383,1.4282557893654981,1.0,2.0,2.0,-0.5936973560261123,999997.178835608,
2015-06-12,-18.256960169411798,1.6212304086926566,1.0,2.0,2.0,0.5338429799491706,999997.7126785879,
2015-06-15,-18.24509251469228,1.5152263339091205,1.0,2.0,2.0,0.023735309439032903,999997.7364138974,
2015-06-16,-18.084468528603416,1.589068868950856,1.0,2.0,2.0,0.32124797217772993,999998.0576618696,
2015-06-17,-18.089347545631917,1.4045163530033316,1.0,2.0,2.0,-0.009758034057000486,999998.0479038355,
2015-06-18,-18.258389866824032,1.0612271301753098,1.0,1.5045483940768334,1.5045483940768334,-0.33882781979311616,999997.7090760157,
2015-06-19,-17.940189985851283,1.347600874092879,1.0,1.8339436975854688,1.8339436975854688,0.4782530269577259,999998.1873290427,
2015-06-22,-18.185822880740048,0.9249046842614206,1.0,1.233297498836021,1.233297498836021,-0.45137786879904773,999997.7359511739,
2015-06-23,-17.81850659645181,1.2674421153203899,1.0,1.6438647811406792,1.6438647811406792,0.4523944037709656,999998.1883455777,
2015-06-24,-16.862343878235585,2.182183556207098,1.0,2.0,2.0,1.5712680146871056,999999.7596135924,
2015-06-25,-16.932025026612358,1.8590309081767384,1.0,2.0,2.0,-0.1393622967535464,999999.6202512956,
2015-06-26,-16.714393508600438,1.8622642415653254,1.0,2.0,2.0,0.43526303602384075,1000000.0555143317,
2015-06-29,-15.852304518949921,2.3727210561859446,1.0,2.0,2.0,1.7241779793010323,1000001.779692311,
2015-06-30,-15.909192044280651,1.9897153638700544,1.0,1.9365389472882086,1.9365389472882086,-0.11387024224052712,1000001.6658220687,
2015-07-01,-16.02321208768899,1.7055036610750884,1.0,1.6677800379139787,1.6677800379139787,-0.22120739319580057,1000001.4446146755,
2015-07-02,-16.085758836838657,1.4876256024862449,1.0,1.4545437952903189,1.4545437952903189,-0.10463407403216464,1000001.3399806014,
2015-07-06,-16.112600954148228,1.325854590298809,1.0,1.3032436000124772,1.3032436000124772,-0.03926998547800713,1000001.3007106159,
2015-07-07,-15.798439124662188,1.4620726136731486,1.0,1.408125515820495,1.408125515820495,0.40927207077217986,1000001.7099826867,
2015-07-08,-15.611795724405802,1.4608057168443513,1.0,1.3637295393578626,1.3637295393578626,0.26275074029582124,1000001.972733427,
2015-07-09,-15.387058000634582,1.4815090165543547,1.0,1.3322169579772907,1.3322169579772907,0.3064342036427896,1000002.2791676306,
2015-07-10,-15.497749380820046,1.2543215490864115,1.0,1.1355358165476426,1.1355358165476426,-0.14775995549713178,1000002.1314076751,
2015-07-13,-15.148579161770748,1.4104153917791469,1.0,1.2596031751415677,1.2596031751415677,0.3963091887643737,1000002.5277168639,
2015-07-14,-14.765598872533147,1.5663660486033384,1.0,1.371982542969001,1.371982542969001,0.48223461928857686,1000003.0099514832,
2015-07-15,-14.769309646688235,1.4096270914000337,1.0,1.227466315192525,1.227466315192525,-0.005307891703346486,1000003.0046435915,
2015-07-16,-14.240567275615504,1.670214137894298,1.0,1.4268222477517505,1.4268222477517505,0.6487144160079651,1000003.6533580074,
2015-07-17,-9.473967897261055,3.4473264056839676,0.0,1.8916122424120931,0.0,6.798949805784164,1000010.4523078132,Exit
2015-07-20,-9.59964357842204,2.5976791564225423,0.0,1.1756397698461505,0.0,-0.0,1000010.4523078132,
2015-07-21,-10.536019692141878,1.8823177159564135,0.0,0.8014415745237609,0.0,-0.0,1000010.4523078132,
2015-07-22,-9.912218929597806,1.858253011428101,0.0,0.7426957064038786,0.0,0.0,1000010.4523078132,
2015-07-23,-9.190213899760842,1.840380351787464,0.0,0.6790543468255422,0.0,0.0,1000010.4523078132,
2015-07-24,-10.126709708174019,1.338412094337361,0.0,0.48270532253716175,0.0,-0.0,1000010.4523078132,
2015-07-27,-10.169610248444421,1.1925787995654495,0.0,0.42570470770867685,0.0,-0.0,1000010.4523078132,
2015-07-28,-10.879993455216521,0.8496846811391229,0.0,0.3031019181519579,0.0,-0.0,1000010.4523078132,
2015-07-29,-10.73135382283796,0.8156849926379586,0.0,0.2928872250441783,0.0,0.0,1000010.4523078132,
2015-07-30,-11.525753950040595,0.46234047270799383,0.0,0.1706801984226892,0.0,-0.0,1000010.4523078132,
2015-07-31,-11.859343114697893,0.27212343929689126,0.0,0.10466844366282838,0.0,-0.0,1000010.4523078132,
2015-08-03,-11.607697434652735,0.2973217431224138,0.0,0.12045534950058241,0.0,0.0,1000010.4523078132,
2015-08-04,-11.0513416021072,0.4492803413534263,0.0,0.19171408922752237,0.0,0.0,1000010.4523078132,
