Date,Spread,ZScore,Signal,PositionSize,Exposure,PnL,Capital,Event
2020-01-03,38.84643155021702,-1.9204844172390458,0.0,0.41763061914087796,0.0,-0.0,1000011.2345654373,
2020-01-06,39.722289648662624,-1.5238805359839902,0.0,0.31483704662390954,0.0,0.0,1000011.2345654373,
2020-01-07,38.66415098024355,-1.550043559840999,0.0,0.3113843756966809,0.0,-0.0,1000011.2345654373,
2020-01-08,42.02612718690038,-0.795839660109526,0.0,0.16926917416925943,0.0,0.0,1000011.2345654373,
2020-01-09,41.297799894797265,-0.8669414567790413,0.0,0.1931478667405511,0.0,-0.0,1000011.2345654373,
2020-01-10,42.43163669671891,-0.5407103353544552,0.0,0.13219661108969757,0.0,0.0,1000011.2345654373,
2020-01-13,42.940023529767615,-0.36337838197245204,0.0,0.08983128935034385,0.0,0.0,1000011.2345654373,
2020-01-14,43.09191544492654,-0.23908011937273188,0.0,0.06611952833541312,0.0,0.0,1000011.2345654373,
2020-01-15,43.30678808913474,-0.09053798169760012,0.0,0.02752451687534506,0.0,0.0,1000011.2345654373,
2020-01-16,43.336945539540636,-0.001918696930868686,0.0,0.0006240594367981676,0.0,0.0,1000011.2345654373,
2020-01-17,41.54287596870931,-0.5125608530164019,0.0,0.18639669528095387,0.0,-0.0,1000011.2345654373,
2020-01-21,40.69394807796597,-0.7816179901440973,0.0,0.33515437574146384,0.0,-0.0,1000011.2345654373,
2020-01-22,39.05370335221774,-1.456215674972803,0.0,0.7028737556014146,0.0,-0.0,1000011.2345654373,
2020-01-23,39.37865988827464,-1.1838669658689454,0.0,0.5806980883283825,0.0,0.0,1000011.2345654373,
2020-01-24,40.92017028800436,-0.39023485895169413,0.0,0.19111477048428754,0.0,0.0,1000011.2345654373,
2020-01-27,40.80885332146319,-0.38635537968770073,0.0,0.19228768312177683,0.0,-0.0,1000011.2345654373,
2020-01-28,40.904441586467,-0.26108425884207465,0.0,0.13973040859359967,0.0,0.0,1000011.2345654373,
2020-01-29,50.34047652215243,3.29214948006385,0.0,1.2486107837592442,0.0,0.0,1000011.2345654373,
2020-01-30,51.922514982468726,2.855428810002555,0.0,0.8251513001911517,0.0,0.0,1000011.2345654373,
